Date;msci_net;msci_gross;msci_price;mwi40;mwig40_dy;mwig40tr
Jan 31, 2022; 191,97 ; 3 095,00 ; 1 485,76 ; 5 106,59 ; 2,67 ; 6 953,68 
Feb 28, 2022; 172,86 ; 2 786,92 ; 1 337,87 ; 4 589,49 ; 3,07 ; 6 256,35 
Mar 31, 2022; 181,87 ; 2 932,14 ; 1 407,58 ; 4 778,07 ; 2,83 ; 6 513,43 
Apr 29, 2022; 156,76 ; 2 527,25 ; 1 213,21 ; 4 370,19 ; 2,99 ; 5 989,93 
May 31, 2022; 155,93 ; 2 515,10 ; 1 204,29 ; 4 349,02 ; 2,87 ; 6 026,02 
Jun 30, 2022; 143,00 ; 2 306,96 ; 1 103,61 ; 4 069,37 ; 3,11 ; 5 663,72 
Jul 29, 2022; 147,00 ; 2 377,50 ; 1 122,25 ; 4 151,32 ; 3,40 ; 5 850,84 
Aug 31, 2022; 129,20 ; 2 093,08 ; 979,44 ; 3 838,57 ; 3,32 ; 5 413,08 
Sep 30, 2022; 117,68 ; 1 909,90 ; 885,32 ; 3 552,54 ; 3,44 ; 5 013,57 
Oct 31, 2022; 131,89 ; 2 140,44 ; 992,18 ; 3 824,04 ; 3,59 ; 5 398,07 
Nov 30, 2022; 148,91 ; 2 416,66 ; 1 120,23 ; 4 108,81 ; 3,22 ; 5 803,55 
Dec 30, 2022; 154,41 ; 2 506,02 ; 1 161,65 ; 4 154,32 ; 3,12 ; 5 874,43 
Jan 31, 2023; 162,78 ; 2 641,87 ; 1 224,62 ; 4 412,00 ; 2,76 ; 6 238,80 
Feb 28, 2023; 159,11 ; 2 582,34 ; 1 197,03 ; 4 421,49 ; 2,67 ; 6 252,23 
Mar 31, 2023; 150,15 ; 2 436,89 ; 1 129,60 ; 4 504,04 ; 2,66 ; 6 368,97 
Apr 28, 2023; 164,14 ; 2 663,92 ; 1 234,84 ; 4 600,36 ; 2,45 ; 6 505,17 
May 31, 2023; 161,60 ; 2 622,66 ; 1 215,72 ; 4 549,84 ; 2,54 ; 6 490,63 
Jun 30, 2023; 176,30 ; 2 861,34 ; 1 325,97 ; 4 852,03 ; 2,61 ; 6 967,31 
Jul 31, 2023; 188,28 ; 3 059,93 ; 1 408,15 ; 5 350,36 ; 2,63 ; 7 755,66 
Aug 31, 2023; 175,82 ; 2 864,77 ; 1 300,52 ; 5 190,71 ; 2,83 ; 7 529,29 
Sep 29, 2023; 165,43 ; 2 698,73 ; 1 217,23 ; 4 936,38 ; 3,42 ; 7 169,18 
Oct 31, 2023; 185,81 ; 3 031,29 ; 1 367,22 ; 5 167,24 ; 3,01 ; 7 505,89 
Nov 30, 2023; 192,92 ; 3 147,17 ; 1 419,49 ; 5 538,33 ; 3,00 ; 8 048,14 
Dec 29, 2023; 205,70 ; 3 357,70 ; 1 509,81 ; 5 785,21 ; 2,91 ; 8 413,29 
Jan 31, 2024; 201,69 ; 3 294,98 ; 1 475,14 ; 5 847,28 ; 2,64 ; 8 506,45 
Feb 29, 2024; 214,57 ; 3 505,32 ; 1 569,31 ; 6 239,00 ; 3,45 ; 9 076,33 
Mar 29, 2024; 215,80 ; 3 525,54 ; 1 578,36 ; 6 326,51 ; 3,08 ; 9 203,62 
Apr 30, 2024; 221,27 ; 3 623,93 ; 1 601,00 ; 6 285,32 ; 3,27 ; 9 247,42 
May 31, 2024; 222,90 ; 3 655,49 ; 1 603,67 ; 6 551,62 ; 3,12 ; 9 676,06 
Jun 28, 2024; 230,87 ; 3 786,92 ; 1 659,75 ; 6 517,71 ; 3,04 ; 9 749,81 
Jul 31, 2024; 218,04 ; 3 576,41 ; 1 567,49 ; 6 269,27 ; 3,19 ; 9 405,65 
Aug 30, 2024; 217,69 ; 3 576,73 ; 1 553,70 ; 6 344,45 ; 3,36 ; 9 530,20 
Sep 30, 2024; 211,76 ; 3 491,48 ; 1 488,97 ; 6 201,66 ; 3,44 ; 9 349,07 
Oct 31, 2024; 202,24 ; 3 335,39 ; 1 420,52 ; 5 966,67 ; 3,54 ; 8 994,81 
Nov 29, 2024; 200,56 ; 3 307,66 ; 1 408,71 ; 6 065,12 ; 3,53 ; 9 149,55 
Dec 31, 2024; 201,70 ; 3 326,41 ; 1 416,69 ; 6 122,32 ; 3,41 ; 9 246,82 
Jan 31, 2025; 224,82 ; 3 707,76 ; 1 579,10 ; 6 609,99 ; 3,04 ; 9 987,08 
Feb 28, 2025; 239,68 ; 3 952,75 ; 1 683,44 ; 6 820,93 ; 3,02 ; 10 305,79 
Mar 31, 2025; 248,57 ; 4 099,39 ; 1 745,90 ; 7 184,44 ; 2,56 ; 10 855,02 
Apr 30, 2025; 253,72 ; 4 185,30 ; 1 780,39 ; 7 598,65 ; 2,51 ; 11 485,97 
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
