Timestamp,Yeld_10Y,Dividend,E,CAPE,T_Bill
1951-12-01,0.02513,1.41333,2.44,12.527059748172299,0.0173
1952-03-01,0.02505,1.43,2.4,12.242728683266877,0.0159
1952-06-01,0.02415,1.45,2.34,12.669112889622474,0.017
1952-09-01,0.02685,1.43667,2.36,12.13118355868687,0.0171
1952-12-01,0.025470000000000003,1.41,2.4,13.01077344799518,0.0209
1953-03-01,0.02735,1.41333,2.43,12.163901454006801,0.020099999999999996
1953-06-01,0.02987,1.42,2.51,11.750201645310002,0.021099999999999997
1953-09-01,0.02636,1.43,2.55,11.39193476542141,0.0179
1953-12-01,0.02469,1.45667,2.51,12.002650554927826,0.016
1954-03-01,0.0241,1.46333,2.55,12.907868184060916,0.0103
1954-06-01,0.02416,1.45667,2.62,13.833009564245327,0.0064
1954-09-01,0.024460000000000003,1.49333,2.63,14.619231935730562,0.0101
1954-12-01,0.024940000000000004,1.54667,2.77,15.99078106296984,0.0115
1955-03-01,0.02686,1.56333,2.96,16.68526662806351,0.0128
1955-06-01,0.02843,1.58667,3.22,18.454031906632878,0.0141
1955-09-01,0.02878,1.62667,3.44,17.772325789386098,0.0207
1955-12-01,0.02919,1.67,3.62,18.2925853854189,0.0254
1956-03-01,0.030699999999999998,1.75333,3.69,19.37059363457851,0.0225
1956-06-01,0.029660000000000002,1.81333,3.6,18.856797596896794,0.024900000000000002
1956-09-01,0.03342,1.80667,3.46,17.418952948636132,0.028399999999999998
1956-12-01,0.03714,1.73667,3.41,16.71778007853301,0.0321
1957-03-01,0.03374,1.73,3.4,16.12370436021176,0.0308
1957-06-01,0.03891,1.74,3.42,16.868882383979802,0.0329
1957-09-01,0.04014,1.77,3.47,14.14945148948354,0.0353
1957-12-01,0.03047,1.78333,3.37,13.788431552307635,0.0304
1958-03-01,0.028990000000000002,1.75667,3.14,13.913501765262785,0.013000000000000001
1958-06-01,0.02981,1.73,2.93,14.957457101901142,0.0083
1958-09-01,0.037450000000000004,1.73667,2.88,16.559803310351576,0.024399999999999998
1958-12-01,0.038849999999999996,1.75667,2.89,17.9803393429934,0.0277
1959-03-01,0.0397,1.77667,3.11,18.430753048783423,0.027999999999999997
1959-06-01,0.04243,1.79667,3.4,19.090533975796518,0.0321
1959-09-01,0.04502,1.81667,3.43,18.021962441515438,0.0404
1959-12-01,0.047220000000000005,1.86667,3.39,18.33828499437557,0.0449
1960-03-01,0.04061,1.94333,3.39,17.42976694759721,0.0331
1960-06-01,0.04181,1.95,3.26,17.376806472898124,0.0246
1960-09-01,0.03786,1.95,3.27,16.605104536251037,0.0248
1960-12-01,0.0371,1.94667,3.27,18.470416986477183,0.0225
1961-03-01,0.03787,1.94,3.09,20.382842975754794,0.0239
1961-06-01,0.03875,1.94667,3.03,20.146643736827336,0.0233
1961-09-01,0.03848,1.98,3.05,20.924190141010797,0.022799999999999997
1961-12-01,0.0406,2.02667,3.19,21.19793140001523,0.026000000000000002
1962-03-01,0.038599999999999995,2.04667,3.37,20.65833644764903,0.027200000000000002
1962-06-01,0.04,2.06667,3.47,17.14132566132279,0.0273
1962-09-01,0.0394,2.09667,3.53,16.739820967901334,0.0278
1962-12-01,0.0385,2.13667,3.67,19.25923169325406,0.0287
1963-03-01,0.0395,2.16667,3.71,20.150077238226984,0.028900000000000002
1963-06-01,0.04,2.20333,3.84,19.96923188594964,0.029900000000000003
1963-09-01,0.0407,2.23333,3.96,20.891344595411496,0.0338
1963-12-01,0.0414,2.29667,4.02,21.627216196980925,0.0352
1964-03-01,0.042300000000000004,2.34667,4.18,22.422192169737173,0.0354
1964-06-01,0.0415,2.4,4.33,22.98435184573841,0.0348
1964-09-01,0.0418,2.46,4.47,23.212154680675333,0.0353
1964-12-01,0.0421,2.51667,4.55,23.269335081922463,0.0384
1965-03-01,0.042,2.57,4.68,23.420551954771295,0.0393
1965-06-01,0.042,2.62667,4.84,22.300781712174437,0.038
1965-09-01,0.0435,2.68,4.98,23.775745523312697,0.0392
1965-12-01,0.04650000000000001,2.74,5.19,24.05848338842175,0.0438
1966-03-01,0.0471,2.79667,5.34,23.113696462615827,0.045899999999999996
1966-06-01,0.049699999999999994,2.85,5.46,21.381702007433415,0.045
1966-09-01,0.050199999999999995,2.88333,5.51,18.825409371315686,0.0537
1966-12-01,0.0464,2.88,5.55,20.432242125384285,0.0496
1967-03-01,0.045,2.9,5.45,21.68602556674625,0.0426
1967-06-01,0.052199999999999996,2.90667,5.33,21.804196245666372,0.0354
1967-09-01,0.053099999999999994,2.92,5.3,22.068199194183897,0.044199999999999996
1967-12-01,0.057,2.93,5.33,21.511535896332187,0.049699999999999994
1968-03-01,0.0576,2.96333,5.44,21.27735601567175,0.051699999999999996
1968-06-01,0.0564,3.00333,5.57,21.75353741567095,0.0552
1968-09-01,0.054900000000000004,3.04333,5.66,22.004606927956885,0.0519
1968-12-01,0.0616,3.08,5.76,21.194968072847157,0.0596
1969-03-01,0.063,3.11,5.82,20.428608081932165,0.0602
1969-06-01,0.0673,3.13667,5.84,18.681708207192766,0.0644
1969-09-01,0.0751,3.15333,5.89,18.448662031815363,0.0709
1969-12-01,0.0788,3.16333,5.78,17.09054139514021,0.0782
1970-03-01,0.0708,3.17333,5.63,15.87306781935406,0.0663
1970-06-01,0.0768,3.18333,5.52,13.72649974435977,0.0668
1970-09-01,0.0729,3.17333,5.36,15.064185404089635,0.061200000000000004
1970-12-01,0.065,3.13,5.13,16.461793943491948,0.0487
1971-03-01,0.0553,3.10667,5.22,17.924110447959613,0.0338
1971-06-01,0.067,3.09667,5.32,16.889414708693362,0.0475
1971-09-01,0.06,3.08333,5.43,16.42886270915947,0.046900000000000004
1971-12-01,0.058899999999999994,3.07,5.7,17.262996797035175,0.0401
1972-03-01,0.061200000000000004,3.07,5.81,17.915161678498286,0.0373
1972-06-01,0.061500000000000006,3.07333,5.97,17.398690031138166,0.0391
1972-09-01,0.0654,3.10333,6.14,17.533183854158555,0.0466
1972-12-01,0.0641,3.15667,6.42,18.712530467302436,0.0507
1973-03-01,0.0673,3.18667,6.8,16.93574006605082,0.060899999999999996
1973-06-01,0.0694,3.23667,7.23,15.889518573988783,0.0719
1973-09-01,0.069,3.30667,7.69,15.913516308933382,0.08289999999999999
1973-12-01,0.069,3.4,8.16,13.530721892513942,0.0745
1974-03-01,0.0741,3.46,8.36,12.550411048540902,0.0796
1974-06-01,0.0764,3.53,8.74,10.394141805327047,0.079
1974-09-01,0.0794,3.59333,9.11,8.744983833809588,0.0806
1974-12-01,0.07400000000000001,3.62333,8.89,8.920995508404253,0.07150000000000001
1975-03-01,0.0801,3.68333,8.45,10.233076136605922,0.054900000000000004
1975-06-01,0.0796,3.71,7.96,10.902767048238584,0.053399999999999996
1975-09-01,0.0848,3.7,7.76,10.327599777501119,0.0642
1975-12-01,0.0776,3.68333,7.96,11.185051362622156,0.054400000000000004
1976-03-01,0.0766,3.71333,8.66,11.689164132206377,0.05
1976-06-01,0.0786,3.79,9.25,11.757490488689916,0.0541
1976-09-01,0.0755,3.91667,9.55,11.345696136316704,0.0508
1976-12-01,0.0681,4.09667,9.91,11.437961346787553,0.0435
1977-03-01,0.0742,4.24667,10.08,10.63603740914136,0.046
1977-06-01,0.07200000000000001,4.40667,10.42,10.567692447775405,0.050199999999999995
1977-09-01,0.0741,4.55667,10.71,9.76666629955654,0.0581
1977-12-01,0.07780000000000001,4.71333,10.89,9.241462260934684,0.060700000000000004
1978-03-01,0.0815,4.83667,10.92,9.262588720866836,0.0629
1978-06-01,0.0862,4.94667,11.23,9.425524047787349,0.0673
1978-09-01,0.08560000000000001,5.03667,11.57,9.533608358208822,0.0785
1978-12-01,0.0915,5.11333,12.33,9.257636919139962,0.0908
1979-03-01,0.0911,5.24667,13.3,9.133063566217405,0.09480000000000001
1979-06-01,0.08810000000000001,5.39667,13.98,8.82749804554235,0.0906
1979-09-01,0.0944,5.55667,14.63,8.681843306899301,0.1026
1979-12-01,0.1033,5.7,14.86,8.850934180729098,0.1204
1980-03-01,0.1264,5.84667,15.29,7.844024504719208,0.152
1980-06-01,0.1009,5.98333,14.94,8.880865527295832,0.0707
1980-09-01,0.1186,6.1,14.64,9.357841046757104,0.1027
1980-12-01,0.1243,6.2,14.82,9.259404530877948,0.1549
1981-03-01,0.1313,6.31667,14.58,9.085561230788738,0.1336
1981-06-01,0.1386,6.43333,15.01,8.44531946787551,0.14730000000000001
1981-09-01,0.15839999999999999,6.55667,15.27,7.649141713319208,0.147
1981-12-01,0.1398,6.66,15.36,7.388659973375994,0.1085
1982-03-01,0.1418,6.75,14.81,7.259072625426146,0.1268
1982-06-01,0.1444,6.82333,14.17,6.638653100208761,0.1247
1982-09-01,0.1173,6.85667,13.56,7.999840994534589,0.07919999999999999
1982-12-01,0.1036,6.88333,12.64,8.756783224134743,0.0794
1983-03-01,0.10619999999999999,6.92,12.42,9.531581284160415,0.08349999999999999
1983-06-01,0.1096,6.96,12.59,10.014475995571026,0.08789999999999999
1983-09-01,0.1144,7.03,13.3,10.003391799449625,0.09
1983-12-01,0.1182,7.12,14.03,9.894931809202536,0.09
1984-03-01,0.1253,7.22333,15.26,9.305643404594823,0.09519999999999999
1984-06-01,0.1384,7.33333,16.2,8.868302214043304,0.0987
1984-09-01,0.1247,7.43,16.56,9.595070703048505,0.10369999999999999
1984-12-01,0.1155,7.57333,16.64,9.997001177730452,0.0806
1985-03-01,0.1165,7.68667,16.39,10.397118719816818,0.0852
1985-06-01,0.1025,7.77333,15.61,10.99756395679338,0.0695
1985-09-01,0.10310000000000001,7.86,15.23,10.552516982943743,0.071
1985-12-01,0.09,7.94,14.61,11.715007584487982,0.071
1986-03-01,0.0739,8.04667,14.52,13.55250417286947,0.06559999999999999
1986-06-01,0.0735,8.14333,14.71,13.619995534083802,0.0621
