timestamp,TBSP,WIBOR3m,TenYPL
2003-01-31,0.016962365759395838,0.005391666666666666,0.004778333333333333
2003-02-28,0.01777575021402919,0.005225,0.0046275
2003-03-31,0.01617538912603489,0.0049833333333333335,0.004565
2003-04-30,0.009439076805185518,0.0047416666666666675,0.004415833333333333
2003-05-31,0.001875462942022784,0.0045000000000000005,0.004215833333333334
2003-06-30,0.01519190831903134,0.004433333333333333,0.0042525
2003-07-31,0.001108820868885068,0.004366666666666667,0.0047241666666666664
2003-08-31,0.00993125600182079,0.004283333333333333,0.004711666666666667
2003-09-30,0.009897924788490034,0.004366666666666667,0.005095
2003-10-31,0.009790405584663597,0.004883333333333334,0.005960833333333333
2003-11-30,0.0002139028072312768,0.004858333333333333,0.006161666666666667
2003-12-31,-0.04448449847849104,0.004666666666666666,0.005498333333333333
2004-01-31,0.0018285943107816463,0.00455,0.005714166666666667
2004-02-29,-0.002784623392548733,0.004583333333333333,0.005669166666666666
2004-03-31,0.002223005076073318,0.004575,0.0055541666666666665
2004-04-30,0.029984557284577273,0.004875,0.006061666666666667
2004-05-31,0.009343732415605998,0.005,0.00616
2004-06-30,0.005919427111114791,0.0050416666666666665,0.006039166666666666
2004-07-31,0.005057479600837151,0.005341666666666667,0.0062475
2004-08-31,-0.001246953863367966,0.005833333333333334,0.006096666666666667
2004-09-30,0.01874415255937757,0.005758333333333333,0.005640833333333334
2004-10-31,0.007054676097364855,0.0057,0.005686666666666666
2004-11-30,0.007715640681229855,0.005641666666666666,0.0053325000000000004
2004-12-31,0.011094704033358996,0.005533333333333334,0.004838333333333333
2005-01-31,0.01734879431614339,0.005508333333333334,0.00498
2005-02-28,-0.017788491351161527,0.005258333333333333,0.0045725
2005-03-31,0.006674521990924137,0.004925,0.0045674999999999995
2005-04-30,0.0035200917114467135,0.004658333333333333,0.004639999999999999
2005-05-31,0.01240701387168711,0.004533333333333334,0.004270833333333333
2005-06-30,0.00301214465622221,0.004083333333333334,0.0039024999999999997
2005-07-31,0.008534486686468196,0.0038916666666666665,0.004091666666666667
2005-08-31,-0.008593951170868967,0.003841666666666667,0.003950833333333333
2005-09-30,0.014482802392680592,0.00375,0.0038725000000000005
2005-10-31,0.00524530452886207,0.0038499999999999997,0.0044108333333333334
2005-11-30,0.006814017049720313,0.0038583333333333334,0.004444166666666667
2005-12-31,-0.0036753220785753077,0.003833333333333333,0.0042499999999999994
2006-01-31,-0.04275170827899831,0.003666666666666667,0.004209166666666667
2006-02-28,0.0036562990084419017,0.0034666666666666665,0.0038516666666666664
2006-03-31,0.04127067749261719,0.0034750000000000002,0.004159166666666666
2006-04-30,0.00548554210138549,0.0034416666666666662,0.0043075
2006-05-31,0.0047250416740282596,0.0034583333333333337,0.0044425
2006-06-30,5.258431163360916e-5,0.0035083333333333334,0.0047374999999999995
2006-07-31,0.0018963166585992779,0.003483333333333333,0.0046675
2006-08-31,0.0014520570665432497,0.0034916666666666672,0.004661666666666667
2006-09-30,-0.008045449935902078,0.003516666666666666,0.004591666666666667
2006-10-31,-0.002151857511117173,0.0035083333333333334,0.0044175
2006-11-30,-0.007486240618623442,0.0035,0.004310833333333333
2006-12-31,0.0027762110683246816,0.0035,0.0043525
