Date;ACWI_Net;USDPLN;ACWI_Net_PLN;CPI_USA;CPI_PLN
30.09.2002;224,0779;4,1466;929,1614;76,3658;
31.10.2002;240,515;4,0306;969,4198;76,4924;
30.11.2002;253,5848;4,0147;1018,0669;76,4924;
31.12.2002;241,4149;3,828;924,1362;76,3236;75,4661
31.01.2003;234,3087;3,821;895,2935;76,6612;75,7475
28.02.2003;230,1057;3,9107;899,8744;77,2519;75,8178
31.03.2003;229,1129;4,1005;939,4774;77,7159;76,0288
30.04.2003;249,421;3,8115;950,6681;77,5472;76,1695
31.05.2003;263,762;3,7144;979,7176;77,4206;76,1695
30.06.2003;268,7006;3,8988;1047,6099;77,505;76,0991
31.07.2003;274,5784;3,8664;1061,6299;77,5894;75,8178
31.08.2003;280,999;3,97;1115,566;77,8847;75,5365
30.09.2003;282,706;3,9468;1115,784;78,1379;75,8881
31.10.2003;299,7752;4,025;1206,5952;78,0535;76,3101
30.11.2003;304,2638;3,902;1187,2373;77,8425;76,5211
31.12.2003;323,4649;3,7253;1205,0038;77,7581;76,6618
31.01.2004;328,9285;3,8589;1269,3022;78,1379;76,9431
29.02.2004;334,8813;3,9283;1315,5142;78,5598;77,0134
31.03.2004;332,9672;3,8645;1286,7517;79,0661;77,2244
30.04.2004;325,1468;4,015;1305,4644;79,3192;77,8574
31.05.2004;327,6715;3,8159;1250,3617;79,7833;78,6311
30.06.2004;334,1564;3,6945;1234,5408;80,0365;79,3344
31.07.2004;323,4613;3,633;1175,1349;79,9099;79,2641
31.08.2004;325,4325;3,6526;1188,6747;79,9521;78,9124
30.09.2004;332,1888;3,5091;1165,6837;80,1208;79,1234
31.10.2004;340,3091;3,3842;1151,6741;80,5428;79,6157
30.11.2004;358,8567;3,1521;1131,1522;80,5849;79,8267
31.12.2004;372,7406;2,9994;1117,9982;80,2896;79,8971
31.01.2005;364,8345;3,1106;1134,8542;80,4584;79,9674
28.02.2005;377,4757;2,9384;1109,1746;80,9225;79,8971
31.03.2005;369,1589;3,1445;1160,8202;81,5553;79,9674
30.04.2005;361,0136;3,3087;1194,4857;82,1038;80,3191
31.05.2005;367,7556;3,3612;1236,1001;82,0194;80,53
30.06.2005;371,4729;3,3431;1241,8711;82,0616;80,3894
31.07.2005;385,2104;3,3531;1291,649;82,4414;80,2487
31.08.2005;388,135;3,2707;1269,4731;82,8633;80,1784
30.09.2005;399,8157;3,2369;1294,1634;83,8758;80,53
31.10.2005;389,0456;3,3074;1286,7294;84,0446;80,8817
30.11.2005;403,2116;3,3133;1335,961;83,3695;80,741
31.12.2005;413,1282;3,2447;1340,4771;83,032;80,6004
31.01.2006;433,4648;3,1457;1363,5502;83,6649;80,7489
28.02.2006;432,8292;3,1699;1372,0253;83,8337;80,7489
31.03.2006;441,9316;3,2352;1429,7371;84,2978;80,6675
30.04.2006;456,6404;3,0703;1402,023;85,015;81,1559
31.05.2006;438,6392;3,0666;1345,131;85,4369;81,6443
30.06.2006;438,4499;3,1906;1398,9183;85,6057;81,4001
31.07.2006;441,4424;3,0912;1364,5867;85,8588;81,4815
31.08.2006;452,8873;3,0798;1394,8023;86,0276;81,7257
30.09.2006;458,1652;3,1276;1432,9575;85,6057;81,8071
31.10.2006;475,3487;3,0285;1439,5935;85,1416;81,7257
30.11.2006;488,7898;2,8761;1405,8083;85,015;81,8071
31.12.2006;499,6955;2,9018;1450,0164;85,1416;81,7257
31.01.2007;504,6663;3,0079;1517,9858;85,4015;82,0513
28.02.2007;502,0095;2,969;1490,4662;85,8584;82,2955
31.03.2007;512,076;2,8854;1477,5441;86,6402;82,7025
30.04.2007;534,8088;2,7719;1482,4365;87,203;83,1095
31.05.2007;550,7102;2,8357;1561,6489;87,7359;83,5165
30.06.2007;549,089;2,7852;1529,3227;87,9059;83,5165
31.07.2007;540,7044;2,7667;1495,9669;87,8836;83,2723
31.08.2007;539,2082;2,8059;1512,9643;87,7224;82,9467
30.09.2007;568,1544;2,6495;1505,3251;87,9642;83,5979
31.10.2007;590,3194;2,508;1480,5211;88,1523;84,0863
30.11.2007;564,2192;2,4568;1386,1737;88,6759;84,6561
31.12.2007;557,9736;2,4465;1365,0824;88,6164;84,9003
31.01.2008;512,2724;2,4312;1245,4367;89,0569;85,4701
29.02.2008;513,7222;2,3123;1187,8798;89,3155;85,7957
31.03.2008;506,1839;2,2266;1127,0691;90,0897;86,1213
