timestamp,Total_Stock_T_Bill,T_Bill_CPI,Yeld_10Y_T_Bill,CPI
1952-01-01,-0.014614183523479896,0.008873962972067611,0.0007441666666666666,-0.0075757938084577425
1952-02-01,0.006185748823971097,0.001273551960929742,0.0008974999999999999,0.0
1952-03-01,0.0007534336203073859,-0.002480494375604844,0.0007624999999999999,0.003795070968551695
1952-04-01,0.0033174702288407457,0.0012981691636098681,0.0007099999999999999,0.0
1952-05-01,0.030444864459392665,-0.0024005488149911897,0.0005949999999999998,0.0037807228399060477
1952-06-01,0.03156443902924606,-0.006114072658491935,0.0005958333333333332,0.007518832414027177
1952-07-01,0.007240453488220472,0.0014948454275844163,0.0005466666666666664,0.0
1952-08-01,-0.012594269319449158,0.001511214182956891,0.0006016666666666668,0.0
1952-09-01,-0.017603866604462216,0.0014129533874511228,0.0008124999999999999,0.0
1952-10-01,0.03437970503808893,0.001437529450543966,0.0006566666666666669,0.0
1952-11-01,0.04234612649617822,0.0015275797237269551,0.0005499999999999997,0.0
1952-12-01,0.00807601467002026,0.005476065551286145,0.0003808333333333337,-0.003752349618550088
1953-01-01,-0.009341013339692084,0.005384015588795699,0.0005666666666666669,-0.0037664827954770885
1953-02-01,0.00786242339902281,-0.0021407772631401754,0.0006166666666666666,0.0037664827954770885
1953-03-01,-0.0471766587399323,0.0016583884755280137,0.0006041666666666671,0.0
1953-04-01,0.008140536841831808,-0.0019470463155478945,0.0006633333333333333,0.003752349618550088
1953-05-01,-0.03317394583022048,-0.0019574866325912767,0.0009408333333333332,0.0037383221106073172
1953-06-01,0.017131627592385654,0.0017400397982796027,0.0007308333333333338,0.0
1953-07-01,0.007230099740618184,-0.0020415068171888272,0.0007766666666666664,0.0037243990909821
1953-08-01,-0.04339095887406384,0.001682892273793273,0.0008608333333333332,0.0
1953-09-01,0.0329622154146491,-0.002232105940189537,0.0007050000000000001,0.0037105793965359624
1953-10-01,0.025501288080583953,0.004852716651211957,0.0010941666666666665,-0.0037105793965359624
1953-11-01,0.016970458184133487,0.0011914420584020354,0.0010800000000000004,0.0
1953-12-01,0.02836263089227065,0.0013227790963575125,0.0007241666666666666,0.0
1954-01-01,0.025349239138960655,0.0009775769063082222,0.0010833333333333335,0.0
1954-02-01,0.024614143897562862,0.0008044380856781921,0.0012366666666666672,0.0
1954-03-01,0.04249658386203331,0.004578342128611227,0.00115,-0.0037243990909821
1954-04-01,0.042286893810049325,-0.002919961005303908,0.001130833333333333,0.0037243990909821
1954-05-01,0.011471302797288505,0.0006309387913598396,0.0014491666666666667,0.0
1954-06-01,0.04293751613541912,0.0005316339136699189,0.0014800000000000002,0.0
1954-07-01,0.023001418842802778,0.0005978503123333632,0.001381666666666667,0.0
1954-08-01,0.02619190975623036,0.004487560573045902,0.001270833333333333,-0.0037243990909821
1954-09-01,0.025877123979407016,0.0008374446544167866,0.0011966666666666666,0.0
1954-10-01,0.04122188270185175,0.0008126909535565227,0.001209166666666667,0.0
1954-11-01,0.047466171337604064,0.004509740549163714,0.0012958333333333329,-0.0037383221106073172
1954-12-01,0.020447315157391188,0.000952864802138592,0.0011200000000000003,0.0
1955-01-01,0.035263151734939206,0.0010105149831533802,0.0011783333333333333,0.0
1955-02-01,-0.005304820157286918,0.0009693403524756376,0.001274166666666667,0.0
1955-03-01,0.03620145263902666,0.0010598977006478908,0.0011716666666666663,0.0
1955-04-01,-0.002089474294421579,0.0013145765929468511,0.0009658333333333335,0.0
1955-05-01,0.05825648200260475,0.0011996566903110318,0.0010558333333333333,0.0
1955-06-01,0.07230810312372637,-0.0025715288076228497,0.0011941666666666665,0.0037383221106073172
1955-07-01,-0.0042782282432660655,0.0013227790963575125,0.0011433333333333332,0.0
1955-08-01,0.04535873045341597,-0.0021559195709331203,0.0008750000000000003,0.0037243990909821
1955-09-01,-0.049941646811753226,0.0017073888689429718,0.0006733333333333335,0.0
1955-10-01,0.06624162757125927,0.0018379158984026106,0.00047250000000000026,0.0
1955-11-01,0.01041534596576069,0.005570466144409876,0.0005399999999999999,-0.0037243990909821
1955-12-01,-0.026138595346733927,0.002090231697288596,0.00031583333333333376,0.0
1956-01-01,0.007479103600249625,0.001984514841604573,0.00033083333333333315,0.0
1956-02-01,0.06750887416248696,0.0019112476068746567,0.00042666666666666656,0.0
1956-03-01,0.012850590386447204,-0.0018701816797471202,0.0006833333333333331,0.0037243990909821
1956-04-01,-0.03081520599572452,-0.001571600500821146,0.00038666666666666624,0.0037105793965359624
1956-05-01,-0.0047355392817266286,-0.005233006640453418,0.00023833333333333345,0.007380107297622285
1956-06-01,0.05368783504806787,-0.00527645285412481,0.0003966666666666667,0.0073260400920731605
1956-07-01,-0.004732897142159012,0.0055594140283400425,0.0007358333333333333,-0.003656311203110274
1956-08-01,-0.03340123388222117,-0.0015173323073954578,0.0006791666666666665,0.003656311203110274
1956-09-01,-0.011963398127029781,-0.001309308244368093,0.00041833333333333306,0.0036429912785012064
1956-10-01,-0.00959066318376584,0.0023822880709927128,0.0004766666666666669,0.0
1956-11-01,0.015334108928521245,-0.0011746255381105456,0.00042500000000000003,0.0036297680505787966
1956-12-01,-0.021408758477562725,0.002632963465812547,0.00042000000000000023,0.0
1957-01-01,-0.04322329506313285,-0.0010644576750413232,9.083333333333296e-5,0.0036166404701880595
1957-02-01,0.013447597152318604,-0.0010595070837302275,0.00021833333333333383,0.0036036075032988
1957-03-01,0.0234611966334462,-0.0010627348143890905,0.000245,0.0035906681307285027
1957-04-01,0.038091146760693806,-0.001057972759499703,0.0003841666666666672,0.0035778213478838694
