Timestamp,USA_Net,EM_Net,EUROPE_Net,PACIFIC_Net,JAPAN_Net
1988-01-31,0.28244881315394693,0.06016786032886695,0.16337334501841339,0.02232890645393499,0.4716810750448379
1988-02-29,0.27818809786806675,0.05710780690136251,0.16367733301225593,0.021025711527914832,0.4800010506904
1988-03-31,0.2583533711856559,0.06080666489262247,0.16175154807614758,0.022658497204292707,0.4964299186412812
1988-04-30,0.25672430695155085,0.06311351477853065,0.1623879807483571,0.023405929489402108,0.49436826803215933
1988-05-31,0.26393228800679225,0.06630565611497155,0.16258910363564466,0.02556122592927033,0.4816117263133212
1988-06-30,0.27737628104751944,0.06889067084526587,0.16177260923018408,0.02613193490761619,0.4658285039694144
1988-07-31,0.27087645152889944,0.06581245780677243,0.15897543073606954,0.026646583823161537,0.4776890761050971
1988-08-31,0.27701330038975,0.06782098180494968,0.16074176791139827,0.026686065984480235,0.4677378839094218
1988-09-30,0.27632483447967066,0.06913072098108203,0.1622821154163915,0.025105921284550695,0.4671564078383051
1988-10-31,0.267570142416158,0.06457094932862459,0.16674799176007182,0.02515106949062481,0.4759598470045209
1988-11-30,0.25318134286681854,0.06183065922824724,0.162379431774803,0.024079190734332158,0.49852937539579895
1988-12-31,0.2547021405730717,0.06286764657252542,0.16172636895887732,0.023968485528006855,0.4967353583675187
1989-01-31,0.266340770243611,0.060358418102506195,0.16300374747855423,0.02573622378270487,0.4845608403926237
1989-02-28,0.2576312560674433,0.06483665367441295,0.1608487478398611,0.023688165919198204,0.4929951764990845
1989-03-31,0.26416120646650837,0.07154024366255586,0.16260917454413637,0.024166936901306224,0.47752243842549313
1989-04-30,0.2695874763189008,0.08244369878270547,0.1619102142664643,0.02418124575401467,0.4618773648779148
1989-05-31,0.28671903988235675,0.08561313969677514,0.157446612095998,0.023650704284451762,0.4465705040404183
1989-06-30,0.2930886952338456,0.07722665794260446,0.16835108844730265,0.023281000276113,0.43805255810013416
1989-07-31,0.28758288656850167,0.07401896074513536,0.16926553346240722,0.022815157411499653,0.4463174618124561
1989-08-31,0.2995256470722917,0.07774710111992489,0.1716335247760986,0.024429620706355484,0.4266641063253295
1989-09-30,0.28724177499795567,0.08418194914262263,0.16791731095528453,0.02413775162092089,0.4365212132832163
1989-10-31,0.28883816168822707,0.08787368687369816,0.16157216574455896,0.024004270912582178,0.43771171478093357
1989-11-30,0.2851803009515013,0.08108453924436648,0.16510498750328587,0.023249445206406726,0.4453807270944397
1989-12-31,0.2817845203098311,0.08796544324101277,0.17685364783118962,0.023465742312208507,0.42993064630575795
1990-01-31,0.2748559763597499,0.09483130597588309,0.18413820661273034,0.024331426481844956,0.4218430845697917
1990-02-28,0.2905600712595641,0.10271620065533649,0.18737288204627933,0.025028211110679547,0.3943226349281405
1990-03-31,0.3235416221405614,0.09666445640179112,0.20686829992299408,0.026877133461423716,0.3460484880732297
1990-04-30,0.3174561198981147,0.10386526140782015,0.20186614275084191,0.025536037325574662,0.3512764386176485
1990-05-31,0.31312343060785497,0.101534902061541,0.1972555291820667,0.025243938720680478,0.36284219942785667
1990-06-30,0.31396563262460775,0.1057713264394599,0.20565379186946484,0.026212883292965096,0.3483963657735023
1990-07-31,0.3089392673984791,0.11348730559611109,0.21137871996306506,0.027220037340563445,0.33897466970178136
1990-08-31,0.31126881154693925,0.10985961183700971,0.2113482415027268,0.027886469184835984,0.33963686592848813
1990-09-30,0.3338946618947034,0.1078602505097934,0.209929288830882,0.028501860142710743,0.3198139386219105
1990-10-31,0.30468621632418136,0.09695651976902268,0.20854472067818203,0.02576901231018387,0.36404353091842995
1990-11-30,0.3335079713469028,0.09444446369511247,0.2165344749299612,0.026235645721462756,0.3292774443065608
1990-12-31,0.3340451812586831,0.09598432348760334,0.20814199656447385,0.025569072169353887,0.3362594265198859
1991-01-31,0.3357718044565323,0.0995884929792371,0.20658050416130802,0.026005599742559695,0.332053598660363
1991-02-28,0.3260813700773578,0.10389858347037555,0.20422071925568322,0.025879512897339862,0.3399198142992435
1991-03-31,0.3413829594313905,0.11060240539333413,0.1948674323533918,0.02710201761012883,0.3260451852117548
1991-04-30,0.3393471460083558,0.11071982602358947,0.19106429479918519,0.02774405265664259,0.33112468051222704
1991-05-31,0.34400638785800164,0.11627093294521842,0.1915885666811769,0.027104097171352884,0.32103001534425013
1991-06-30,0.3487473471521646,0.11917702940087926,0.1866076835411779,0.02869079925898157,0.3167771406467966
1991-07-31,0.3485717648368223,0.11974413992269292,0.1906558540286319,0.028994320312700758,0.3120339208991521
1991-08-31,0.358000473628842,0.12265747763931031,0.1948060518281677,0.028715609023796537,0.29582038787988335
1991-09-30,0.3444685742878749,0.11550911442300112,0.19654219400449746,0.028405223870365346,0.3150748934142612
1991-10-31,0.3429856236796063,0.11773067190003797,0.18847284725412342,0.02885040453584809,0.32196045263038414
1991-11-30,0.34377646562739606,0.12120370779689983,0.19238424399376217,0.02985188999357555,0.3127836925883664
1991-12-31,0.35501072083252544,0.1250125674719944,0.19237356686526283,0.02832981255666741,0.2992733322735499
1992-01-31,0.35060275013110304,0.14015363980766715,0.19328739737747908,0.02910928623732865,0.28684692644642207
1992-02-29,0.35879080585453826,0.14817024484329916,0.19646577270347337,0.030392127080020915,0.2661810495186683
1992-03-31,0.3657649603606493,0.15916915376264554,0.19704748041065154,0.03135385541654638,0.24666455004950713
1992-04-30,0.3737871713237635,0.1570082090903608,0.20658985013078945,0.03261670826857112,0.22999806118651508
1992-05-31,0.36305850390644495,0.151403609004362,0.21137361089329115,0.03370491778563551,0.24045935841026655
