Data;Zamkniecie
Dec 31, 2018;3.74105
Jan 31, 2019;3.72365
Feb 28, 2019;3.785
Mar 29, 2019;3.83745
Apr 30, 2019;3.82155
May 31, 2019;3.83271
Jun 28, 2019;3.7336
Jul 31, 2019;3.87505
Aug 30, 2019;3.98041
Sep 30, 2019;4.01056
Oct 31, 2019;3.82239
Nov 29, 2019;3.9162
Dec 31, 2019;3.7938
Jan 31, 2020;3.87436
Feb 28, 2020;3.92137
Mar 31, 2020;4.13216
Apr 30, 2020;4.14946
May 29, 2020;4.00709
Jun 30, 2020;3.95887
Jul 31, 2020;3.74482
Aug 31, 2020;3.68275
Sep 30, 2020;3.86325
Oct 30, 2020;3.95484
Nov 30, 2020;3.7541
Dec 31, 2020;3.7346
Jan 29, 2021;3.72404
Feb 26, 2021;3.7466
Mar 31, 2021;3.94988
Apr 30, 2021;3.79148
May 31, 2021;3.66317
Jun 30, 2021;3.81105
Jul 30, 2021;3.85285
Aug 31, 2021;3.83065
Sep 30, 2021;3.98072
Oct 29, 2021;3.9907
Nov 30, 2021;4.11015
Dec 31, 2021;4.0341
Jan 31, 2022;4.0782
Feb 28, 2022;4.19083
Mar 31, 2022;4.1994
Apr 29, 2022;4.43105
May 31, 2022;4.2712
Jun 30, 2022;4.48525
Jul 29, 2022;4.63744
Aug 31, 2022;4.70088
Sep 30, 2022;4.9573
Oct 31, 2022;4.7724
Nov 30, 2022;4.487
Dec 30, 2022;4.38031
Jan 31, 2023;4.33524
Feb 28, 2023;4.44635
Mar 31, 2023;4.31426
Apr 28, 2023;4.16199
May 31, 2023;4.24044
Jun 30, 2023;4.06505
Jul 31, 2023;4.00395
Aug 31, 2023;4.12312
Sep 29, 2023;4.36773
Oct 31, 2023;4.2128
Nov 30, 2023;3.997
Dec 29, 2023;3.93417
Jan 31, 2024;4.00365
Feb 29, 2024;3.99355
Mar 29, 2024;3.98925
Apr 30, 2024;4.06265
