timestamp,short_us,real_us,term_us,USA_Net_short_us
1973-04-01,0.0767333333333333,-0.0032643068090423034,-0.0086666666666666,-0.10251684479395795
1973-07-01,0.10353333333333299,0.003773416161491721,-0.031466666666666296,-0.07912463252540157
1973-10-01,0.0923666666666666,5.897855263142099e-5,-0.02483333333333329,0.017186488034891395
1974-01-01,0.0864,-0.006558722438344565,-0.01586666666666671,-0.11163480076082316
1974-04-01,0.109433333333333,-0.000866128495971355,-0.0339999999999997,-0.07022680427361593
1974-07-01,0.120266666666667,-0.00014868318876156902,-0.04063333333333369,-0.11748641536682164
1974-10-01,0.0936666666666666,-0.0064121300831109646,-0.016966666666666602,-0.3245377333239412
1975-01-01,0.0669,-0.0013740378349357367,0.008499999999999994,0.07718459654196962
1975-04-01,0.0595666666666667,-0.0003602871125381515,0.020933333333333304,0.1899222467865412
1975-07-01,0.0681666666666667,-0.0041684233304715365,0.014800000000000008,0.11681526362448119
1975-10-01,0.0628333333333333,-0.00022921271511123532,0.017800000000000094,-0.14474538788434443
1976-01-01,0.052199999999999996,0.003355857619245563,0.025333333333333305,0.07142441217316509
1976-04-01,0.0550666666666666,0.0011986272352939586,0.022666666666666696,0.11895631281005997
1976-07-01,0.054133333333333304,-0.0023702234358407865,0.023166666666666703,0.007009150672215041
1976-10-01,0.0493333333333333,0.000703634945151143,0.022566666666666707,0.004822090283640872
1977-01-01,0.048333333333333305,-0.00507375790558607,0.025199999999999993,0.01525516825715346
1977-04-01,0.0519333333333333,-0.008882692905436404,0.021766666666666705,-0.09633161338289994
1977-07-01,0.058499999999999996,0.000256609793653299,0.0150666666666667,0.015729967687084234
1977-10-01,0.0668666666666667,0.005744156153717161,0.009099999999999997,-0.048914722255348944
1978-01-01,0.069,8.400948734100383e-6,0.011099999999999999,-0.029622019174360817
1978-04-01,0.0742,-0.006725857249495076,0.008999999999999994,-0.07884929696402813
1978-07-01,0.0827333333333333,-0.0030099995974848075,0.0021666666666667056,0.05604495247746583
1978-10-01,0.10293333333333299,0.005427032305571879,-0.014733333333332987,0.052975742171208845
1979-01-01,0.10276666666666699,0.0009400170017426976,-0.011700000000000307,-0.07906027972636384
1979-04-01,0.100566666666667,-0.00932802926706022,-0.009433333333333696,0.036834728133896634
1979-07-01,0.10903333333333301,-0.005685767378707386,-0.01799999999999971,-0.012196236174499032
1979-10-01,0.136633333333333,0.005542399928368698,-0.03216666666666601,0.020180202897954122
1980-01-01,0.150866666666666,-0.0017250052280411224,-0.031,-0.05107562347850891
1980-04-01,0.114733333333333,-0.0078013519280572576,-0.009966666666666,-0.07699171190531637
1980-07-01,0.09949999999999999,0.006406662839075428,0.010033333333333005,0.09235853661930425
1980-10-01,0.157566666666666,0.012578073863862883,-0.03333333333333299,0.05273443364768981
1981-01-01,0.1592,0.012872980966903029,-0.029599999999999987,0.045338912177784574
1981-04-01,0.1675,0.018127330177363746,-0.03,-0.029701194563202978
1981-07-01,0.1752,0.015057849117469779,-0.026733333333333997,-0.0712552261101988
1981-10-01,0.134533333333333,0.018748100228665243,0.006333333333332997,-0.13744227800026093
1982-01-01,0.1424,0.026832157574439602,0.000533333333332997,0.02471112581094167
1982-04-01,0.142333333333333,0.019905979699857166,-0.0030333333333329993,-0.10993573978369037
1982-07-01,0.1157,0.009918969995444255,0.01546666666666699,-0.03698612182102847
1982-10-01,0.0904,0.019962967080388475,0.016266666666667,0.08415648235799607
1983-01-01,0.08529999999999999,0.021781834434605244,0.020333333333333023,0.1366486257878084
1983-04-01,0.0877333333333333,0.009172739664155384,0.017699999999999688,0.06917064941139886
1983-07-01,0.09553333333333329,0.011898704639779115,0.0207333333333327,0.07138058375493254
1983-10-01,0.0941,0.014316524117745252,0.02276666666666599,-0.02613072994092012
1984-01-01,0.0968,0.01277159477736821,0.022633333333333006,-0.022511705107457036
1984-04-01,0.109533333333333,0.016319713422825365,0.02246666666666701,-0.06548835772239629
1984-07-01,0.1144,0.017297664087364523,0.014266666666666983,-0.057914141955338436
1984-10-01,0.09386666666666671,0.01588817200579765,0.02356666666666629,0.07044773617176066
1985-01-01,0.0861666666666666,0.01500169895401531,0.029666666666666397,-0.004372440961864257
1985-04-01,0.0795,0.007486642172018639,0.02863333333333301,0.06902347495362879
1985-07-01,0.0779333333333333,0.012174194100313451,0.025433333333333696,0.05014063152871648
1985-10-01,0.0783,0.010477819356779898,0.019299999999999998,-0.06663477894851809
1986-01-01,0.07583333333333331,0.01664246038904667,0.0097333333333334,0.14019955243430945
1986-04-01,0.0666,0.018651239146278493,0.009433333333333294,0.11437322995970362
1986-07-01,0.06,0.007575934093255917,0.013066666666666699,0.029544691770078693
1986-10-01,0.0583,0.009020195352222246,0.014333333333333302,-0.08962130606490715
1987-01-01,0.0604666666666666,0.003894058695239438,0.011466666666666694,0.03517464313400433
1987-04-01,0.0681666666666667,0.0038453727807210934,0.015266666666666609,0.16719533032360528
1987-07-01,0.0694,0.005772453548504053,0.0193666666666667,0.027365226781177008
1987-10-01,0.0764,0.010505577231296727,0.014833333333333296,0.04230806484372341
1988-01-01,0.0671666666666666,0.010602984785281128,0.017000000000000015,-0.2784730355254993
1988-04-01,0.0722333333333333,0.005339954790944502,0.016866666666666696,0.028087353970176882
1988-07-01,0.0817333333333334,0.006985879404530377,0.009266666666666604,0.03992265828638848
1988-10-01,0.0879666666666667,0.011451140915019958,0.0016000000000000042,-0.020208009879652922
1989-01-01,0.096,0.012697148636047798,-0.0039333333333334,0.004120744854102319
