DateS;Date;;ACWI_Net;USDPLN;ACWI_Net_PLN;CPI USA;CPI PLN
Jun 30, 2016;2016-06-01;2016-06-30;665,4881;3,93833;2620,9117;101,6881;99,5523
Jul 29, 2016;2016-07-01;2016-07-31;694,1665;3,89642;2704,7642;101,5235;99,2267
Aug 31, 2016;2016-08-01;2016-08-31;696,5019;3,91011;2723,3990;101,6168;99,0639
Sep 30, 2016;2016-09-01;2016-09-30;700,7692;3,82375;2679,5662;101,8610;99,0639
Oct 31, 2016;2016-10-01;2016-10-31;688,8744;3,92543;2704,1282;101,9880;99,5523
Nov 30, 2016;2016-11-01;2016-11-30;694,1094;4,20465;2918,4871;101,8294;99,6337
Dec 30, 2016;2016-12-01;2016-12-31;709,1039;4,18547;2967,9331;101,8627;100,3663
Jan 31, 2017;2017-01-01;2017-01-31;728,4942;4,00257;2915,8490;102,4564;100,7733
Feb 28, 2017;2017-02-01;2017-02-28;748,9308;4,0722;3049,7960;102,7787;101,0989
Mar 31, 2017;2017-03-01;2017-03-31;758,0903;3,96555;3006,2450;102,8622;101,0175
Apr 28, 2017;2017-04-01;2017-04-30;769,9066;3,8792;2986,6217;103,1673;101,3431
May 31, 2017;2017-05-01;2017-05-31;786,908;3,71934;2926,7784;103,2555;101,3431
Jun 30, 2017;2017-06-01;2017-06-30;790,4861;3,7054;2929,0672;103,3491;101,1803
Jul 31, 2017;2017-07-01;2017-07-31;812,5761;3,59473;2920,9917;103,2778;101,0175
Aug 31, 2017;2017-08-01;2017-08-31;815,6899;3,5632;2906,4663;103,5871;100,9361
Sep 29, 2017;2017-09-01;2017-09-30;831,4486;3,64897;3033,9310;104,1356;101,3431
Oct 31, 2017;2017-10-01;2017-10-31;848,7142;3,63866;3088,1824;104,0697;101,8315
Nov 30, 2017;2017-11-01;2017-11-30;865,1442;3,5347;3058,0252;104,0723;102,3199
Dec 29, 2017;2017-12-01;2017-12-31;879,0924;3,48035;3059,5492;104,0111;102,5641
Jan 31, 2018;2018-01-01;2018-01-31;928,6859;3,3455;3106,9187;104,5777;102,8897
Feb 28, 2018;2018-02-01;2018-02-28;889,6839;3,42485;3047,0339;105,0520;102,6455
Mar 30, 2018;2018-03-01;2018-03-31;870,6399;3,42045;2977,9802;105,2895;102,5641
Apr 30, 2018;2018-04-01;2018-04-30;878,9531;3,50917;3084,3958;105,7080;103,0525
May 31, 2018;2018-05-01;2018-05-31;880,0494;3,69246;3249,5472;106,1477;103,2967
Jun 29, 2018;2018-06-01;2018-06-30;875,2857;3,74564;3278,5051;106,3168;103,3781
Jul 31, 2018;2018-07-01;2018-07-31;901,6823;3,65888;3299,1473;106,3240;103,1339
Aug 31, 2018;2018-08-01;2018-08-31;908,7635;3,70651;3368,3410;106,3831;103,1339
Sep 28, 2018;2018-09-01;2018-09-30;912,7201;3,6865;3364,7426;106,5067;103,3781
Oct 31, 2018;2018-10-01;2018-10-31;844,3219;3,83704;3239,6969;106,6949;103,7851
Nov 30, 2018;2018-11-01;2018-11-30;856,6703;3,79117;3247,7827;106,3375;103,7851
Dec 31, 2018;2018-12-01;2018-12-31;796,3318;3,74105;2979,1171;105,9979;103,7851
Jan 31, 2019;2019-01-01;2019-01-31;859,2093;3,72365;3199,3947;106,2000;103,5409
Feb 28, 2019;2019-02-01;2019-02-28;882,192;3,785;3339,0967;106,6489;103,9479
Mar 29, 2019;2019-03-01;2019-03-31;893,2834;3,83745;3427,9304;107,2505;104,2735
Apr 30, 2019;2019-04-01;2019-04-30;923,4473;3,82155;3529,0000;107,8184;105,4131
May 31, 2019;2019-05-01;2019-05-31;868,6687;3,83271;3329,3552;108,0479;105,6573
Jun 28, 2019;2019-06-01;2019-06-30;925,5506;3,7336;3455,6357;108,0695;105,9829
Jul 31, 2019;2019-07-01;2019-07-31;928,261;3,87505;3597,0578;108,2500;105,9829
Aug 30, 2019;2019-08-01;2019-08-31;906,2424;3,98041;3607,2163;108,2446;105,9829
Sep 30, 2019;2019-09-01;2019-09-30;925,3078;4,01056;3711,0025;108,3294;105,9829
Oct 31, 2019;2019-10-01;2019-10-31;950,633;3,82239;3633,6901;108,5770;106,2271
Nov 29, 2019;2019-11-01;2019-11-30;973,8407;3,9162;3813,7549;108,5188;106,3085
Dec 31, 2019;2019-12-01;2019-12-31;1008,1327;3,7938;3824,6538;108,4201;107,1225
Jan 31, 2020;2020-01-01;2020-01-31;996,9984;3,87436;3862,7307;108,8407;108,0993
Feb 28, 2020;2020-02-01;2020-02-29;916,4696;3,92137;3593,8164;109,1390;108,8319
Mar 31, 2020;2020-03-01;2020-03-31;792,7429;4,13216;3275,7405;108,9015;109,0761
Apr 30, 2020;2020-04-01;2020-04-30;877,6676;4,14946;3641,8466;108,1733;108,9947
May 29, 2020;2020-05-01;2020-05-31;915,8376;4,00709;3669,8437;108,1754;108,7505
Jun 30, 2020;2020-06-01;2020-06-30;945,1016;3,95887;3741,5344;108,7673;109,4017
Jul 31, 2020;2020-07-01;2020-07-31;995,0844;3,74482;3726,4120;109,3175;109,1575
Aug 31, 2020;2020-08-01;2020-08-31;1055,9907;3,68275;3888,9498;109,6622;109,0761
Sep 30, 2020;2020-09-01;2020-09-30;1021,9416;3,86325;3948,0159;109,8149;109,3203
Oct 30, 2020;2020-10-01;2020-10-31;997,0984;3,95484;3943,3646;109,8605;109,4017
Nov 30, 2020;2020-11-01;2020-11-30;1120,0038;3,7541;4204,6063;109,7934;109,4831
Dec 31, 2020;2020-12-01;2020-12-31;1172,0041;3,7346;4376,9665;109,8968;109,5645
Jan 29, 2021;2021-01-01;2021-01-31;1166,6763;3,72404;4344,7492;110,3642;110,9483
Feb 26, 2021;2021-02-01;2021-02-28;1193,6977;3,7466;4472,3078;110,9684;111,5181
Mar 31, 2021;2021-03-01;2021-03-31;1225,5829;3,94988;4840,9054;111,7544;112,6577
Apr 30, 2021;2021-04-01;2021-04-30;1279,1687;3,79148;4849,9425;112,6729;113,5531
May 31, 2021;2021-05-01;2021-05-31;1299,0733;3,66317;4758,7263;113,5762;113,8787
Jun 30, 2021;2021-06-01;2021-06-30;1316,1925;3,81105;5016,0754;114,6314;113,9601
Jul 30, 2021;2021-07-01;2021-07-31;1325,2627;3,85285;5106,0384;115,1829;114,4485
Aug 31, 2021;2021-08-01;2021-08-31;1358,4334;3,83065;5203,6829;115,4208;114,7741
Sep 30, 2021;2021-09-01;2021-09-30;1302,3157;3,98072;5184,1542;115,7343;115,5881
Oct 29, 2021;2021-10-01;2021-10-31;1368,7927;3,9907;5462,4410;116,6958;116,8905
Nov 30, 2021;2021-11-01;2021-11-30;1335,8292;4,11015;5490,4584;117,2692;118,0301
Dec 31, 2021;2021-12-01;2021-12-31;1389,2651;4,0341;5604,4343;117,6295;119,0883
Jan 31, 2022;2022-01-01;2022-01-31;1321,0347;4,0782;5387,4437;118,6193;121,3675
Feb 28, 2022;2022-02-01;2022-02-28;1286,9141;4,19083;5393,2382;119,7028;121,0419
Mar 31, 2022;2022-03-01;2022-03-31;1314,7891;4,1994;5521,3253;121,3010;125,0305
Apr 29, 2022;2022-04-01;2022-04-30;1209,5492;4,43105;5359,5730;121,9782;127,5539
May 31, 2022;2022-05-01;2022-05-31;1210,9669;4,2712;5172,2818;123,3228;129,7517
Jun 30, 2022;2022-06-01;2022-06-30;1108,8874;4,48525;4973,6372;125,0168;131,7053
Jul 29, 2022;2022-07-01;2022-07-31;1186,3237;4,63744;5501,5050;125,0020;132,3565
Aug 31, 2022;2022-08-01;2022-08-31;1142,6473;4,70088;5371,4478;124,9577;133,4147
Sep 30, 2022;2022-09-01;2022-09-30;1033,2615;4,9573;5122,1872;125,2265;135,5311
Oct 31, 2022;2022-10-01;2022-10-31;1095,6177;4,7724;5228,7259;125,7344;137,9731
Nov 30, 2022;2022-11-01;2022-11-30;1180,5959;4,487;5297,3338;125,6074;138,9499
Dec 30, 2022;2022-12-01;2022-12-31;1134,1412;4,38031;4967,8900;125,2218;139,1127
Jan 31, 2023;2023-01-01;2023-01-31;1215,4306;4,33524;5269,1834;126,2230;142,6129
Feb 28, 2023;2023-02-01;2023-02-28;1180,5959;4,44635;5249,3426;126,9276;144,3223
Mar 31, 2023;2023-03-01;2023-03-31;1216,9983;4,31426;5250,4471;127,3478;145,9503
Apr 28, 2023;2023-04-01;2023-04-30;1234,4888;4,16199;5137,9300;127,9921;147,0085
May 31, 2023;2023-05-01;2023-05-31;1221,2656;4,24044;5178,7035;128,3144;147,0085
Jun 30, 2023;2023-06-01;2023-06-30;1292,1742;4,06505;5252,7527;128,7287;147,0085
Jul 31, 2023;2023-07-01;2023-07-31;1339,4787;4,00395;5363,2057;128,9743;146,6830
Aug 31, 2023;2023-08-01;2023-08-31;1302,0479;4,12312;5368,4997;129,5375;146,6830
Sep 29, 2023;2023-09-01;2023-09-30;1248,2085;4,36773;5451,8377;129,8595;146,1131
Oct 31, 2023;2023-10-01;2023-10-31;1210,6777;4,2128;5100,3430;129,8097;146,5201
Nov 30, 2023;2023-11-01;2023-11-30;1322,4202;3,997;5285,7135;129,5481;147,5784
Dec 29, 2023;2023-12-01;2023-12-31;1385,9405;3,93417;5452,5255;129,4194;147,7411
Jan 31, 2024;2024-01-01;2024-01-31;1394,0644;4,00365;5581,3459;130,1244;148,3109
Feb 29, 2024;2024-02-01;2024-02-29;1453,8888;3,99355;5806,1776;130,9299;148,7179
Mar 29, 2024;2024-03-01;2024-03-31;1499,5364;3,98925;5982,0256;131,7762;149,0435
