Date;ACWI_Net;USDPLN;ACWI_Net_PLN;CPI_USA;CPI_PLN;WIBOR3m;10yPL;TBSP
31.10.1986;;;;46,5368;;;;
30.11.1986;;;;46,5789;;;;
31.12.1986;;;;46,6211;;;;
31.01.1987;;;;46,9165;;;;
28.02.1987;;;;47,0852;;;;
31.03.1987;;;;47,2962;;;;
30.04.1987;;;;47,5493;;;;
31.05.1987;;;;47,7181;;;;
30.06.1987;;;;47,8869;;;;
31.07.1987;;;;48,0134;;;;
31.08.1987;;;;48,2666;;;;
30.09.1987;;;;48,5197;;;;
31.10.1987;;;;48,6463;;;;
30.11.1987;;;;48,6885;;;;
31.12.1987;100;;;48,6885;;;;
31.01.1988;102,4931;;;48,8151;;;;
29.02.1988;108,4049;;;48,9416;;;;
31.03.1988;111,733;;;49,1526;;;;
30.04.1988;113,1387;;;49,4057;;;;
31.05.1988;110,885;;;49,5745;;;;
30.06.1988;110,7529;;;49,7855;;;;
31.07.1988;112,7848;;;49,9964;;;;
31.08.1988;106,5688;;;50,2074;;;;
30.09.1988;111,1306;;;50,5449;;;;
31.10.1988;118,3833;;;50,7137;;;;
30.11.1988;122,3294;;;50,7559;;;;
31.12.1988;123,4087;;;50,8402;;;;
31.01.1989;127,8293;;;51,0934;;;;
28.02.1989;127,0232;;;51,3043;;;;
31.03.1989;126,2733;;;51,5997;;;;
30.04.1989;129,4011;;;51,9372;;;;
31.05.1989;126,2977;;;52,2325;;;;
30.06.1989;124,4941;;;52,3591;;;;
31.07.1989;138,5142;;;52,4857;;;;
31.08.1989;135,2032;;;52,5701;;;;
30.09.1989;139,243;;;52,7388;;;;
31.10.1989;134,7085;;;52,992;;;;
30.11.1989;139,9556;;;53,1186;;;;
31.12.1989;144,4999;;;53,2029;;;;
31.01.1990;137,8072;;;53,7514;;;;
28.02.1990;131,9674;;;54,0046;;;;
31.03.1990;123,7689;;;54,2999;;;;
30.04.1990;122,1662;;;54,3843;;;;
31.05.1990;134,8819;;;54,5109;;;;
30.06.1990;133,9225;;;54,8062;;;;
31.07.1990;135,2289;;;55,0172;;;;
31.08.1990;122,4627;;;55,5235;;;;
30.09.1990;109,6184;;;55,9876;;;;
31.10.1990;119,6621;;;56,3251;;;;
30.11.1990;117,6087;;;56,4517;;;;
31.12.1990;120,0992;;;56,4517;;;;
31.01.1991;124,4932;;;56,7892;;;;
28.02.1991;136,1512;;;56,8736;;;;
31.03.1991;132,2975;;;56,9579;;;;
30.04.1991;133,3593;;;57,0423;;;;
31.05.1991;136,4961;;;57,2111;;;;
30.06.1991;128,119;;;57,3799;;;;
31.07.1991;134,1712;;;57,4642;;;;
31.08.1991;133,8473;;;57,633;;;;
30.09.1991;137,2028;;;57,8861;;;;
31.10.1991;139,5361;;;57,9705;;;;
30.11.1991;133,4759;;;58,1393;;;;
31.12.1991;143,335;;;58,1815;;;;
31.01.1992;141,1349;;;58,2659;;;;
29.02.1992;138,9464;;;58,4768;;;;
31.03.1992;132,7059;;;58,7722;;;;
30.04.1992;134,4326;;;58,8565;;;;
31.05.1992;139,5314;;;58,9409;;;;
