timestamp,Total_Stock_CPI,Price_10Y_CPI,T_Bill_CPI,Dividend_Yeld,Yeld_10Y_T_Bill,CPI
1952-03-01,1.9833498849042286e-5,0.010733697148047838,0.007724452618746601,0.06023588879528222,0.0022874999999999996,-0.0037807228399060477
1952-06-01,0.058141060011866585,0.0026320225666842667,-0.0070852759873274995,0.05781499202551835,0.0017875,0.011299555253933224
1952-09-01,-0.018502661475158444,-0.017335137909135767,0.004238860162353368,0.05921970321516899,0.0024374999999999996,0.0
1952-12-01,0.09328377683056033,0.02209724961800541,0.008923497416758259,0.05385790679908327,0.0011425000000000012,-0.003752349618550088
1953-03-01,-0.0437093284285357,-0.009722016744846407,0.004975165426584041,0.05719668150546337,0.0018125000000000007,0.0
1953-06-01,-0.010013945197927754,-0.021948514738820535,-0.0022705523343185974,0.058460271716755864,0.002192500000000001,0.007490671729157405
1953-09-01,-0.005745953698089501,0.029887447883163443,-0.002999558118478787,0.05965790571547768,0.0021150000000000006,0.0074349784875180625
1953-12-01,0.07822602161930625,0.024817303413484204,0.0076789166856085,0.05721406127258444,0.0021725,-0.0037105793965359624
1954-03-01,0.09883318815118347,0.015041216315532235,0.006286228203869481,0.052961635903003984,0.00345,-0.0037243990909821
1954-06-01,0.09494564448374376,0.001700238769916762,-0.0021294973499723434,0.04834616661135081,0.00444,0.0037243990909821
1954-09-01,0.08100235733318994,0.0071165830638650895,0.00623673305423246,0.04640553138595401,0.0035900000000000007,-0.0037243990909821
1954-12-01,0.11542259895102847,0.005671202671397868,0.006596916517023093,0.04344578651685393,0.003360000000000001,-0.0037383221106073172
1955-03-01,0.06921655760602752,-0.010185575862497132,0.003179693101943672,0.041401747881355935,0.0035149999999999995,0.0
1955-06-01,0.12844282579736443,-0.010491831151568487,-0.00023794220165391502,0.03716725228390724,0.0035825,0.0037383221106073172
1955-09-01,-0.007947503379881482,0.0005390326817962254,0.0013977675158468152,0.038629066729992875,0.00202,0.0037243990909821
1955-12-01,0.06007874234279198,0.00732309169300871,0.009995094182847889,0.03782559456398641,0.0009475000000000004,-0.0037243990909821
1956-03-01,0.08992519961765222,-0.009553384492909434,0.0018382531427228394,0.036489698231009365,0.0020499999999999997,0.0037243990909821
1956-06-01,0.006130174086310447,-0.0021194238252046915,-0.012267965072386356,0.037173636736367366,0.00119,0.018416726786231408
1956-09-01,-0.04728917751674899,-0.027561633456985035,0.003358057823898134,0.0390715830449827,0.001255,0.0036429912785012064
1956-12-01,-0.011721333392207711,-0.025951040920225488,0.004269122346858844,0.03822738278670482,0.0012600000000000007,0.0036297680505787966
1957-03-01,-0.009393722625166578,0.025507880867315702,-0.0032271161551971255,0.03840177580466149,0.0007349999999999995,0.010810916104215362
1957-06-01,0.06862929556199449,-0.048162313696822334,-0.00614252081425919,0.035868893011750155,0.0015025000000000004,0.014235115821871869
1957-09-01,-0.1517234401958647,-0.0004077614494804038,0.00867280994748259,0.042919495635305525,0.001210000000000001,0.0
1957-12-01,-0.002476707531497535,0.07832193747588745,-0.0030581440846270715,0.04336892023346304,1.7500000000000154e-5,0.0105449131766151
1958-03-01,0.02923151301073812,0.009783316219546645,-0.007205820975942943,0.04148960793575814,0.0039975,0.010434877292579525
1958-06-01,0.08842378229682568,-0.0033184678361721787,-0.001387798763829559,0.037625054371465856,0.0053775,0.0034542348680877133
1958-09-01,0.1145921321052561,-0.05267152557892407,0.009481003703895995,0.03408577036310108,0.0032625000000000015,-0.0034542348680877133
1958-12-01,0.09212604156364135,-0.005755447526481827,0.0033765890441348747,0.031583423229054296,0.002787499999999999,0.0034542348680877133
1959-03-01,0.034087265854686244,0.002685612323604758,0.006903791758243341,0.03111506129597198,0.0029250000000000005,0.0
1959-06-01,0.04587047051880644,-0.01866139820053947,0.0010260111096759388,0.030074824238366254,0.0025825000000000015,0.006872879287761702
1959-09-01,-0.04583157897216639,-0.016507290631933902,0.0030753485776897366,0.03187140350877193,0.0011549999999999998,0.00682596507040012
1959-12-01,0.02918028462764477,-0.002647058879826414,0.014387455086096238,0.03216732724452869,0.0005800000000000007,-0.003407158321614201
1960-03-01,-0.03845119759972082,0.056918050824509514,0.001338250395563123,0.03487044679705724,0.0018775000000000007,0.006802747322752545
1960-06-01,0.007261000709382959,-0.0027403397007792485,0.002691475146500885,0.034921203438395415,0.0043025,0.0033840979842403307
1960-09-01,-0.03628300703888465,0.03487346640527056,-0.0006096642812471924,0.036292573981016193,0.0032649999999999997,0.006734032181344052
1960-12-01,0.11389933303159427,0.015780545159206127,0.0055626522337049395,0.03259661754855995,0.0036500000000000005,0.0
1961-03-01,0.10473859652672779,0.002995921133399193,0.005904716399658499,0.0294698465745101,0.0034925,0.0
1961-06-01,-0.005250972556421818,-0.00447856357686538,-0.0009308133731535991,0.029747402200488996,0.0038624999999999996,0.006688988150796771
1961-09-01,0.04553101474943322,0.012005827896354404,0.005635991108723625,0.02911764705882353,0.003920000000000001,0.0
1961-12-01,0.022712081135888518,-0.007472443930258699,0.006416936687144449,0.029342261473867096,0.0036499999999999987,0.0
1962-03-01,-0.01415286504618729,0.01964690365455768,6.462076972159683e-5,0.030075973548861136,0.0028499999999999984,0.006644542718668323
1962-06-01,-0.17165768263087022,-0.005023263076637807,0.0034277121755206816,0.03627646129541864,0.003175,0.0033057881344995543
1962-09-01,-0.008349214888261347,0.01153996458363471,0.0035602529971454303,0.03732722093644294,0.0029,0.003294895896852612
1962-12-01,0.1550113983828938,0.017114502035910917,0.007073967288711826,0.032841530894558865,0.00245,0.0
